,Unnamed: 0,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
46288,46288,2020-02-01 21:00:00,4119.13121259124,3188.8460991751936,8285.593958986223,2797.452492047801,5516.219198104097,1565.5944271561611,1565.5944271561611,1565.5944271561611,191.56448315627307,191.56448315627307,191.56448315627307,141.38736416651685,141.38736416651685,141.38736416651685,1232.642579833371,1232.642579833371,1232.642579833371,0.0,0.0,0.0,5684.725639747401
46289,46289,2020-02-02 21:00:00,4120.864601469819,2971.758966271599,8496.794780377313,2791.2013201923482,5526.608035631715,1623.610543345946,1623.610543345946,1623.610543345946,191.56448315561852,191.56448315561852,191.56448315561852,202.04775599292756,202.04775599292756,202.04775599292756,1229.9983041974,1229.9983041974,1229.9983041974,0.0,0.0,0.0,5744.475144815766
46290,46290,2020-02-03 21:00:00,4122.597990348398,2642.410773148893,8169.085973486963,2784.9501483368895,5534.976508209273,1382.7058981071539,1382.7058981071539,1382.7058981071539,191.56448315598684,191.56448315598684,191.56448315598684,-34.969174482178715,-34.969174482178715,-34.969174482178715,1226.110589433346,1226.110589433346,1226.110589433346,0.0,0.0,0.0,5505.303888455552
46291,46291,2020-02-04 21:00:00,4124.3313792269755,2617.523959663973,8137.53812020198,2778.698976481433,5543.344980786826,1297.4741097562144,1297.4741097562144,1297.4741097562144,191.5644831559797,191.5644831559797,191.5644831559797,-115.33628314676498,-115.33628314676498,-115.33628314676498,1221.2459097469998,1221.2459097469998,1221.2459097469998,0.0,0.0,0.0,5421.805488983191
46292,46292,2020-02-05 21:00:00,4126.064768105554,2886.2837592850537,8443.767890759014,2772.447804625976,5551.521594759322,1461.5258016958428,1461.5258016958428,1461.5258016958428,191.56448315570046,191.56448315570046,191.56448315570046,54.24483483669852,54.24483483669852,54.24483483669852,1215.7164837034445,1215.7164837034445,1215.7164837034445,0.0,0.0,0.0,5587.590569801398
46293,46293,2020-02-06 21:00:00,4127.798156984132,2542.8844889437223,8013.365049939483,2766.1966327705245,5559.3777042994225,1245.7656711820828,1245.7656711820828,1245.7656711820828,191.5644831556933,191.5644831556933,191.5644831556933,-155.66915835952332,-155.66915835952332,-155.66915835952332,1209.8703463859124,1209.8703463859124,1209.8703463859124,0.0,0.0,0.0,5373.563828166215
46294,46294,2020-02-07 21:00:00,4129.531545862711,2602.1835383030066,7928.723448711917,2759.945460915067,5567.23381383953,1303.9393546864135,1303.9393546864135,1303.9393546864135,191.56448315606164,191.56448315606164,191.56448315606164,-91.7053390077586,-91.7053390077586,-91.7053390077586,1204.0802105381106,1204.0802105381106,1204.0802105381106,0.0,0.0,0.0,5433.470900549125
46295,46295,2020-02-08 21:00:00,4131.26493474129,2620.890558709422,8382.523778374305,2754.166795855555,5573.4948306395045,1531.68329539352,1531.68329539352,1531.68329539352,191.56448315605445,191.56448315605445,191.56448315605445,141.38736416676952,141.38736416676952,141.38736416676952,1198.7314480706955,1198.7314480706955,1198.7314480706955,0.0,0.0,0.0,5662.94823013481
46296,46296,2020-02-09 21:00:00,4132.998323619869,2867.9963169205885,8590.523784197538,2749.064451047337,5576.58175516861,1587.8217866891541,1587.8217866891541,1587.8217866891541,191.5644831557753,191.5644831557753,191.5644831557753,202.0477559930268,202.0477559930268,202.0477559930268,1194.209547540352,1194.209547540352,1194.209547540352,0.0,0.0,0.0,5720.820110309023
46297,46297,2020-02-10 21:00:00,4134.731712498447,2563.642731157608,8297.172854403518,2741.6731101224273,5586.911358336421,1347.4827255336852,1347.4827255336852,1347.4827255336852,191.5644831561436,191.5644831561436,191.5644831561436,-34.969174482268045,-34.969174482268045,-34.969174482268045,1190.8874168598095,1190.8874168598095,1190.8874168598095,0.0,0.0,0.0,5482.2144380321315
46298,46298,2020-02-11 21:00:00,4136.465101377025,2595.3349953191464,8027.428624034527,2735.271337630089,5595.534076573212,1265.3411032835236,1265.3411032835236,1265.3411032835236,191.56448315613648,191.56448315613648,191.56448315613648,-115.33628314653022,-115.33628314653022,-115.33628314653022,1189.112903273917,1189.112903273917,1189.112903273917,0.0,0.0,0.0,5401.80620466055
46299,46299,2020-02-12 21:00:00,4138.198490255605,2835.6816327166084,8485.668510951296,2728.8695651377507,5601.886223772685,1435.0062125452225,1435.0062125452225,1435.0062125452225,191.5644831558573,191.5644831558573,191.5644831558573,54.244834836704776,54.244834836704776,54.244834836704776,1189.1968945526598,1189.1968945526598,1189.1968945526598,0.0,0.0,0.0,5573.204702800826
46300,46300,2020-02-13 21:00:00,4139.931879134184,2570.7308481961336,8242.635617082455,2722.52961917604,5608.139476670259,1227.2976715496332,1227.2976715496332,1227.2976715496332,191.56448315585016,191.56448315585016,191.56448315585016,-155.66915835962828,-155.66915835962828,-155.66915835962828,1191.4023467534112,1191.4023467534112,1191.4023467534112,0.0,0.0,0.0,5367.229550683817
46301,46301,2020-02-14 21:00:00,4141.665268012762,2704.6896821298183,8034.725407349048,2716.506322170404,5614.3927295678295,1295.7936995841067,1295.7936995841067,1295.7936995841067,191.56448315621844,191.56448315621844,191.56448315621844,-91.7053390074724,-91.7053390074724,-91.7053390074724,1195.9345554353606,1195.9345554353606,1195.9345554353606,0.0,0.0,0.0,5437.458967596868
46302,46302,2020-02-15 21:00:00,4143.398656891341,2825.787393196593,8362.417626384591,2711.428152842156,5620.645982465399,1535.884797119487,1535.884797119487,1535.884797119487,191.56448315621128,191.56448315621128,191.56448315621128,141.38736416702213,141.38736416702213,141.38736416702213,1202.9329497962535,1202.9329497962535,1202.9329497962535,0.0,0.0,0.0,5679.283454010828
